id,timestamp,attack_type,source_ip,target_port,attempts,confidence,status,risk_score
1,2026-04-28 22:44:36,Ciphertext Analysis,192.168.121.26,22,10,0.766,Analyzed,68
2,2026-04-28 22:44:36,Brute Force,192.168.60.82,80,198,0.931,Analyzed,70
3,2026-04-28 22:44:36,Dictionary Attack,192.168.47.2,80,424,0.871,Blocked,77
4,2026-04-28 22:44:36,Dictionary Attack,192.168.156.221,22,55,0.99,Detected,60
5,2026-04-28 22:44:36,Side Channel,192.168.60.82,3306,35,0.941,Analyzed,75
6,2026-04-28 22:44:36,Brute Force,192.168.227.242,5432,305,0.753,Analyzed,67
7,2026-04-28 22:44:36,Brute Force,192.168.123.88,27017,166,0.985,Analyzed,98
8,2026-04-28 22:44:36,Side Channel,192.168.252.222,80,467,0.864,Warning,71
9,2026-04-28 22:44:36,Side Channel,192.168.45.37,5432,498,0.767,Blocked,70
10,2026-04-28 22:44:36,Dictionary Attack,192.168.252.222,22,133,0.844,Analyzed,70
11,2026-04-28 22:44:36,Dictionary Attack,192.168.148.170,27017,216,0.768,Detected,98
12,2026-04-28 22:44:36,Side Channel,192.168.175.239,22,51,0.849,Warning,75
13,2026-04-28 22:44:36,Brute Force,192.168.122.57,5432,456,0.921,Blocked,79
14,2026-04-28 22:44:36,Dictionary Attack,192.168.123.88,27017,315,0.876,Detected,99
15,2026-04-28 22:44:36,Side Channel,192.168.175.239,5432,473,0.651,Blocked,79
16,2026-04-28 22:44:36,Dictionary Attack,192.168.121.26,22,156,0.681,Warning,100
17,2026-04-28 22:44:36,Dictionary Attack,192.168.67.41,80,121,0.952,Blocked,98
18,2026-04-28 22:44:36,Key Recovery,192.168.141.106,5432,104,0.916,Blocked,97
19,2026-04-28 22:44:36,Key Recovery,192.168.42.17,27017,148,0.902,Detected,93
20,2026-04-28 22:44:36,Brute Force,192.168.217.161,27017,358,0.808,Detected,87
21,2026-04-28 22:44:36,Key Recovery,192.168.136.65,3306,288,0.827,Blocked,85
