id,dur,proto,service,state,spkts,dpkts,sbytes,dbytes,rate,sttl,dttl,sload,dload,sloss,dloss,sinpkt,dinpkt,sjit,djit,swin,stcpb,dtcpb,dwin,tcprtt,synack,ackdat,smean,dmean,trans_depth,response_body_len,ct_srv_src,ct_state_ttl,ct_dst_ltm,ct_src_dport_ltm,ct_dst_sport_ltm,ct_dst_src_ltm,is_ftp_login,ct_ftp_cmd,ct_flw_http_mthd,ct_src_ltm,ct_srv_dst,is_sm_ips_ports,attack_cat,label
1,0.121478,tcp,-,FIN,6,4,258,172,74.08749,252,254,14158.94238,8495.365234,0,0,24.2956,8.375,30.177547,11.830604,255,621772692,2202533631,255,0,0,0,43,43,0,0,1,0,1,1,1,1,0,0,0,1,1,0,Normal,0
89,0.000009,udp,-,INT,2,0,232,0,111111.1072,254,0,103111104,0,0,0,0.009,0,0,0,0,0,0,0,0,0,0,116,0,0,0,43,2,5,5,1,40,0,0,0,5,39,0,Normal,0
176,0.049922,tcp,-,FIN,30,42,2302,34406,1422.218644,31,29,356716.4688,5382316.5,5,15,1.710759,1.204415,96.83678,74.481628,255,174585106,2327498795,255,0.00068,0.000537,0.000143,77,819,0,0,6,0,12,6,1,7,0,0,0,13,10,0,Normal,0
264,0.001706,udp,-,CON,4,4,520,304,4103.165415,31,29,1828839.5,1069167.625,0,0,0.441,0.199667,0.617305,0.276015,0,0,0,0,0,0,0,130,76,0,0,2,0,2,1,1,2,0,0,0,3,8,0,Normal,0
352,0.001015,udp,dns,CON,2,2,146,178,2955.664893,31,29,575369.4375,701477.8125,0,0,0.008,0.005,0,0,0,0,0,0,0,0,0,73,89,0,0,2,0,1,1,1,2,0,0,0,2,2,0,Normal,0
440,26.421759,tcp,http,FIN,8,10,1052,824,0.643409,31,29,278.861084,224.663315,2,2,3774.382,2935.687,308468.9874,8259.9415,255,469430849,2620293614,255,0.00071,0.000568,0.000142,132,82,1,83,7,0,7,7,1,1,0,0,1,19,7,0,Normal,0
527,4.947737,tcp,http,FIN,8,10,1052,824,3.435914,31,29,1489.165527,1199.740356,2,2,706.648018,618.393875,58633.79525,1627.547125,255,124519214,2271073318,255,0.000721,0.000583,0.000138,132,82,1,83,2,0,4,2,1,1,0,0,1,2,4,0,Normal,0
615,0.800566,tcp,-,FIN,16,18,1540,1644,41.220835,31,29,14429.79102,15519.01953,4,4,53.350333,49.97125,4567.131428,126.106883,255,3792358279,1316307706,255,0.001157,0.001025,0.000132,96,91,0,0,9,0,3,9,1,4,0,0,0,11,3,0,Normal,0
703,1.344464,tcp,-,FIN,16,18,1540,1644,24.545099,31,29,8592.272461,9240.857422,4,4,89.603669,83.957688,5868.091168,174.569672,255,3264875117,1033718462,255,0.00134,0.001135,0.000205,96,91,0,0,17,0,8,5,1,6,0,0,0,5,14,0,Normal,0
790,1.577751,tcp,-,FIN,16,18,1540,1644,20.915847,31,29,7321.814453,7874.499512,4,4,105.16227,89.974063,6642.204858,224.716672,255,4121587172,3240024928,255,0.13899,0.138165,0.000825,96,91,0,0,17,0,10,11,1,2,0,0,0,13,9,0,Normal,0
878,0.048004,tcp,-,FIN,30,42,2302,34406,1479.043371,31,29,370969.0625,5597366.5,5,15,1.703,1.188475,94.913605,76.02422,255,2816683434,2816424764,255,0.000584,0.000462,0.000122,77,819,0,0,11,0,8,6,1,6,0,0,0,12,21,0,Normal,0
966,5.475271,tcp,-,FIN,22,24,1920,4312,8.218771,31,29,2678.223389,6038.787598,6,6,260.711106,248.853181,0,18626.52717,255,1842064297,3991877769,255,0.000617,0.000496,0.000121,87,180,0,0,11,0,5,1,1,1,0,0,0,12,8,0,Normal,0
1054,2.679871,tcp,-,FIN,16,18,1540,1644,12.314025,31,29,4310.655273,4636.043945,4,4,178.634,157.159125,13343.78622,444.842594,255,686974451,3522625418,255,0.009007,0.008165,0.000842,96,91,0,0,6,0,18,6,1,4,0,0,0,8,17,0,Normal,0
1141,3.451373,tcp,-,FIN,28,42,2198,34406,19.992043,31,29,4913.986328,77851.91406,5,15,138.041562,84.104628,297.447313,7862.109245,255,3637390966,3306031882,255,0.088025,0.087188,0.000837,79,819,0,0,6,0,15,6,1,6,0,0,0,7,15,0,Normal,0
1229,0.00422,tcp,http,FIN,8,10,1052,824,4028.436017,31,29,1745971.625,1406635.125,2,2,0.551857,0.416111,36.560505,0.793852,255,2289197286,2286466183,255,0.000605,0.000474,0.000131,132,82,1,83,2,0,4,1,1,1,0,0,1,11,1,0,Normal,0
1317,0.14874,tcp,-,FIN,16,18,1540,1644,221.863664,31,29,77665.72656,83528.30469,4,4,9.895267,9.224562,631.423896,16.944291,255,3379136060,3398615052,255,0.001932,0.001138,0.000794,96,91,0,0,15,0,5,9,1,6,0,0,0,12,8,0,Normal,0
1404,0.025332,tcp,-,FIN,16,18,1540,1644,1302.700137,31,29,456024,490446.875,4,4,1.643733,1.463118,100.333836,2.650215,255,1889555515,4039799049,255,0.000574,0.000455,0.000119,96,91,0,0,5,0,9,3,1,4,0,0,0,6,10,0,Normal,0
1492,20.227507,tcp,http,FIN,12,18,1580,10168,1.433691,31,29,573.080994,3798.39209,3,5,1838.832045,1189.819287,147143.6423,118430.3957,255,566976826,568076811,255,0.000724,0.000572,0.000152,132,565,1,3924,3,0,4,1,1,2,0,0,1,4,2,0,Normal,0
1580,0.003754,tcp,http,FIN,8,10,1052,824,4528.502995,31,29,1962706.5,1581246.75,2,2,0.486857,0.364222,31.437709,0.632525,255,2945001939,2945996965,255,0.000593,0.000472,0.000121,132,82,1,83,1,0,11,1,1,2,0,0,1,9,1,0,Normal,0
1668,0.014722,tcp,-,FIN,16,18,1540,1644,2241.543287,31,29,784676,843907.0625,4,4,0.960667,0.891563,64.304679,1.631094,255,3631653938,3633882130,255,0.000584,0.000453,0.000131,96,91,0,0,19,0,9,12,1,8,0,0,0,21,10,0,Normal,0
1755,27.396048,tcp,-,FIN,122,126,7810,14540,9.015899,31,29,2261.932129,4212.286621,30,32,226.410343,219.163941,55105.52236,54021.72021,255,2399841124,2400914369,255,0.000685,0.00054,0.000145,64,115,0,0,8,0,4,1,1,1,0,0,0,9,5,0,Normal,0
1843,0.044949,tcp,-,FIN,78,80,4550,72810,3492.84754,31,29,799483.875,12796726,7,33,0.59516,0.568333,32.670549,31.454896,255,1052129811,1052449052,255,0.000736,0.00061,0.000126,58,910,0,0,4,0,1,1,1,1,0,0,0,5,1,0,Normal,0
1931,0.003868,tcp,http,FIN,8,10,1052,824,4395.036062,31,29,1904860.375,1534643.125,2,2,0.505143,0.371111,31.936718,0.674923,255,1244648166,1245696005,255,0.000657,0.000522,0.000135,132,82,1,83,1,0,6,1,1,1,0,0,1,5,1,0,Normal,0
2018,0.012237,tcp,-,FIN,40,42,2558,23162,6619.269278,31,29,1631118.75,14782054,7,14,0.312289,0.300846,0,16.572265,255,2326746379,193064217,255,0.000636,0.000501,0.000135,64,551,0,0,6,0,2,1,1,2,0,0,0,3,11,0,Normal,0
2106,0.018109,tcp,-,FIN,16,18,1540,1644,1822.298369,31,29,637914.875,686067.75,4,4,1.184533,1.036823,71.392414,2.030528,255,957170010,962252566,255,0.0006,0.00048,0.00012,96,91,0,0,5,0,8,5,1,5,0,0,0,7,15,0,Normal,0
2194,0.016966,tcp,-,FIN,40,42,2558,23162,4774.254335,31,29,1176470.625,10661794,7,14,0.438237,0.401756,0,25.186772,255,2275068570,2290912986,255,0.000615,0.000492,0.000123,64,551,0,0,3,0,3,1,1,1,0,0,0,2,3,0,Normal,0
2282,0.014137,tcp,-,FIN,16,18,1540,1644,2334.300089,31,29,817146.5,878828.625,4,4,0.9216,0.822625,62.096661,1.442643,255,707231089,2863153784,255,0.001136,0.000972,0.000164,96,91,0,0,13,0,9,6,1,6,0,0,0,8,13,0,Normal,0
2369,0.010717,tcp,-,FIN,38,40,2438,18508,7184.846585,31,29,1772137.75,13470934,7,13,0.289028,0.267184,16.929783,16.398217,255,3756812555,3777571150,255,0.00066,0.000561,0.000099,64,463,0,0,6,0,1,1,1,1,0,0,0,2,8,0,Normal,0
2457,0.018111,tcp,-,FIN,16,18,1540,1644,1822.097084,31,29,637844.4375,685991.9375,4,4,1.1868,1.038588,71.918493,2.122618,255,2389331991,244297700,255,0.000569,0.000451,0.000118,96,91,0,0,6,0,9,6,1,6,0,0,0,8,8,0,Normal,0
2545,0.013128,tcp,-,FIN,16,18,1540,1644,2513.711092,31,29,879951.25,946374.125,4,4,0.855,0.744176,59.386521,1.363535,255,539747364,2695564604,255,0.000595,0.000474,0.000121,96,91,0,0,4,0,7,4,1,5,0,0,0,6,24,0,Normal,0
2632,0.028619,tcp,smtp,FIN,52,42,37358,3380,3249.589355,31,29,10242147,922464.0625,18,8,0.56544,0.684902,31.133637,1.471781,255,2690298670,2695538918,255,0.000661,0.000534,0.000127,718,80,0,0,2,0,2,1,1,1,0,0,0,4,1,0,Normal,0
2720,0.000996,udp,dns,CON,2,2,132,164,3012.048141,31,29,530120.5,658634.5,0,0,0.003,0.007,0,0,0,0,0,0,0,0,0,66,82,0,0,5,0,4,2,2,2,0,0,0,9,3,0,Normal,0
2808,0.018231,tcp,-,FIN,16,18,1540,1644,1810.103595,31,29,633645.9375,681476.5625,4,4,1.1948,1.111438,72.364871,2.194388,255,497432356,2647346799,255,0.000544,0.000445,0.000099,96,91,0,0,9,0,8,6,1,6,0,0,0,8,9,0,Normal,0
2896,0.035146,tcp,-,FIN,30,42,2302,34406,2020.144441,31,29,506686.375,7645137,5,15,1.201483,0.866625,67.694321,59.912186,255,3007009477,3010470682,255,0.000599,0.000478,0.000121,77,819,0,0,11,0,7,6,1,7,0,0,0,13,13,0,Normal,0
2983,0.001063,udp,dns,CON,2,2,132,164,2822.201463,31,29,496707.4688,617121.375,0,0,0.01,0.007,0,0,0,0,0,0,0,0,0,66,82,0,0,2,0,9,1,1,2,0,0,0,10,3,0,Normal,0
3071,0.035086,tcp,-,FIN,30,42,2302,34406,2023.599244,31,29,507552.9063,7658211.5,5,15,1.199172,0.86375,66.845041,59.816964,255,1414717596,1418236547,255,0.000678,0.000532,0.000146,77,819,0,0,10,0,9,5,1,5,0,0,0,10,5,0,Normal,0
3159,41.977772,udp,dns,CON,4,4,260,324,0.166755,31,29,37.162525,46.310223,0,0,13992.212,13992.285,19787.972,19788.074,0,0,0,0,0,0,0,65,81,0,0,2,0,9,2,2,2,0,0,0,4,2,0,Normal,0
3246,0.019857,tcp,-,FIN,16,18,1540,1644,1661.882413,31,29,581759.5625,625673.5625,4,4,1.303067,1.211375,81.52323,2.650771,255,2129946273,2133899239,255,0.000598,0.000472,0.000126,96,91,0,0,9,0,12,6,1,6,0,0,0,9,12,0,Normal,0
3334,0.017552,tcp,-,FIN,40,42,2558,23162,4614.858827,31,29,1137192.375,10305834,7,14,0.453026,0.415659,0,24.679253,255,822458658,842058299,255,0.00063,0.000507,0.000123,64,551,0,0,7,0,2,1,1,3,0,0,0,9,8,0,Normal,0
3422,0.001082,udp,dns,CON,2,2,132,164,2772.643321,31,29,487985.2188,606284.6875,0,0,0.008,0.006,0,0,0,0,0,0,0,0,0,66,82,0,0,3,0,9,3,2,2,0,0,0,10,3,0,Normal,0
3510,0.00158,udp,-,CON,4,4,528,304,4430.379634,31,29,2005063.25,1154430.375,0,0,0.404,0.200333,0.566392,0.278366,0,0,0,0,0,0,0,132,76,0,0,14,0,4,1,1,3,0,0,0,7,5,0,Normal,0
3597,0.031187,tcp,smtp,FIN,52,42,37358,3380,2982.011759,31,29,9398788,846506.5625,18,8,0.628959,0.747293,38.934887,1.512055,255,3504693689,3505758085,255,0.00068,0.000545,0.000135,718,80,0,0,1,0,1,1,1,1,0,0,0,2,1,0,Normal,0
3685,0.001065,udp,dns,CON,2,2,132,164,2816.901513,31,29,495774.6563,615962.4375,0,0,0.009,0.007,0,0,0,0,0,0,0,0,0,66,82,0,0,3,0,1,1,1,1,0,0,0,8,3,0,Normal,0
3773,0.088036,tcp,-,FIN,64,66,3806,51808,1465.309634,31,29,340497.0625,4636648.5,7,26,1.392191,1.344385,81.69821,80.108493,255,3644553795,1495306707,255,0.000769,0.000642,0.000127,59,785,0,0,3,0,4,1,1,1,0,0,0,6,14,0,Normal,0
3860,0.021609,tcp,-,FIN,40,42,2558,23162,3748.438001,31,29,923689.1875,8370956,7,14,0.545769,0.515293,36.682575,32.554803,255,767622651,2936896710,255,0.000603,0.00048,0.000123,64,551,0,0,6,0,7,1,1,1,0,0,0,3,12,0,Normal,0
3948,0.273053,udp,-,CON,4,4,528,304,25.63605,31,29,11602.14356,6680.021973,0,0,85.980664,9.999667,121.590781,14.134593,0,0,0,0,0,0,0,132,76,0,0,4,0,3,1,1,2,0,0,0,3,4,0,Normal,0
4036,0.001114,udp,dns,CON,2,2,132,164,2692.998243,31,29,473967.6875,588868.9375,0,0,0.009,0.006,0,0,0,0,0,0,0,0,0,66,82,0,0,2,0,1,1,1,1,0,0,0,9,2,0,Normal,0
4124,0.003938,tcp,http,FIN,8,10,1052,824,4316.911937,31,29,1871000.375,1507364.125,2,2,0.514143,0.379,32.842479,0.688993,255,3532885508,1388501906,255,0.000661,0.000522,0.000139,132,82,1,83,1,0,8,1,1,6,0,0,1,7,2,0,Normal,0
4211,0.056995,tcp,-,FIN,78,80,4550,72810,2754.627566,31,29,630511.4375,10092113,7,33,0.736195,0.714266,46.441965,45.762579,255,200006561,200304865,255,0.000711,0.000559,0.000152,58,910,0,0,8,0,2,1,1,1,0,0,0,4,5,0,Normal,0
4299,0.845656,tcp,ftp,FIN,52,54,2934,3742,124.163966,31,29,27226.20117,34746.99219,11,15,16.90688,15.946057,1424.502695,52.608406,255,1412919264,1413883099,255,0.000635,0.000514,0.000121,56,69,0,0,1,0,2,1,1,4,1,1,0,3,1,0,Normal,0
4387,0.00106,udp,dns,CON,2,2,146,178,2830.188576,31,29,550943.375,671698.0625,0,0,0.001,0.001,0,0,0,0,0,0,0,0,0,73,89,0,0,2,0,2,1,1,1,0,0,0,1,4,0,Normal,0
4474,1.034986,tcp,http,FIN,12,18,1580,10168,28.019702,31,29,11200.15137,74234.82031,3,5,94.057545,60.850587,9532.922597,7677.55095,255,825433803,3007271140,255,0.000646,0.000523,0.000123,132,565,1,3924,1,0,1,1,1,1,0,0,1,4,1,0,Normal,0
