key_generation_time,ciphertext_entropy,hash_collision_count,request_frequency,response_time,payload_size,connection_duration,packet_interarrival,failed_attempts,session_duration,request_size_variance,encryption_rounds,decryption_success_rate,memory_usage,cpu_usage,network_latency,protocol_violations,anomaly_score,label,attack_type
0.052045,7.993251,0.000000,78.606629,0.033981,739.000000,2.000000,0.045826,0.000000,118.000000,22.259537,1.000000,0.998103,0.088458,0.046907,0.007196,0.000000,0.144030,0,正常
0.045990,7.949718,1.000000,22.793492,0.054050,1194.000000,29.000000,0.080655,0.000000,126.000000,145.837911,1.000000,0.986239,0.050693,0.144236,0.009997,0.000000,0.080094,0,正常
0.081184,7.753878,1.000000,22.854590,0.038462,1692.000000,24.000000,0.020029,0.000000,362.000000,35.447087,1.000000,0.994338,0.205969,0.095530,0.004972,0.000000,0.062886,0,正常
0.056208,7.669922,0.000000,7.320236,0.024304,1084.000000,13.000000,0.306523,0.000000,142.000000,90.812215,1.000000,0.989196,0.268725,0.160164,0.019630,0.000000,0.056096,0,正常
0.481456,4.575975,2.000000,93.954934,0.372867,738.000000,140.000000,0.036770,2.000000,880.000000,130.332182,2.000000,0.777654,0.482228,0.383529,0.070510,0.000000,0.508960,1,side_channel
0.496124,5.411070,19.000000,771.228022,0.463493,280.000000,1.000000,0.003508,44.000000,26.000000,3.393357,1.000000,0.683476,0.733531,0.749486,0.014252,6.000000,0.636522,1,brute_force
0.038506,7.270300,0.000000,65.644233,0.067590,1801.000000,3.000000,0.229814,0.000000,81.000000,81.199219,1.000000,0.982457,0.262803,0.181918,0.001311,0.000000,0.045007,0,正常
0.208683,3.364582,8.000000,918.011423,0.312437,91.000000,1.000000,0.007790,75.000000,12.000000,7.289280,1.000000,0.677056,0.316073,0.484351,0.022531,5.000000,0.822165,1,brute_force
0.045612,7.907057,0.000000,71.160622,0.060701,1748.000000,22.000000,0.046557,0.000000,20.000000,192.638638,1.000000,0.984494,0.064486,0.094418,0.015320,0.000000,0.071796,0,正常
0.025845,7.422061,0.000000,69.011045,0.024027,483.000000,5.000000,0.191506,0.000000,294.000000,118.247157,1.000000,0.992454,0.143442,0.180467,0.016749,0.000000,0.070366,0,正常
0.039383,7.529067,0.000000,77.526929,0.054128,200.000000,27.000000,0.122290,0.000000,435.000000,28.759713,1.000000,0.996033,0.080135,0.049931,0.008173,0.000000,0.057614,0,正常
0.051347,2.823869,19.000000,179.587231,0.167798,9590.000000,33.000000,0.015524,8.000000,78.000000,938.173552,3.000000,0.506571,0.567704,0.256848,0.027617,7.000000,0.812506,1,ciphertext_analysis
0.077950,7.681410,1.000000,66.643219,0.032271,786.000000,27.000000,0.289529,0.000000,424.000000,41.597641,1.000000,0.991852,0.067862,0.134394,0.012268,0.000000,0.008083,0,正常
0.856063,5.021602,7.000000,20.114337,0.214490,608.000000,293.000000,0.090682,9.000000,276.000000,54.243973,3.000000,0.350883,0.810838,0.571608,0.015766,3.000000,0.744088,1,key_recovery
0.720626,5.080431,9.000000,127.578818,0.319237,866.000000,115.000000,0.025327,1.000000,648.000000,260.711267,1.000000,0.731759,0.346164,0.127459,0.074764,0.000000,0.601887,1,side_channel
