
timestamp,key_generation_time,request_frequency,failed_attempts
2024-01-15 10:00:00,0.12,100.5,0
2024-01-15 10:01:30,0.18,250.3,2
2024-01-15 10:03:15,0.25,380.7,5
2024-01-15 10:05:00,0.15,180.2,0
2024-01-15 10:07:45,0.35,520.1,8
2024-01-15 10:10:20,0.11,95.8,0
2024-01-15 10:12:30,0.28,420.5,6
2024-01-15 10:15:00,0.14,150.3,1
2024-01-15 10:18:10,0.42,680.9,12
2024-01-15 10:20:00,0.16,200.1,0
2024-01-15 10:22:40,0.31,510.2,7
2024-01-15 10:25:00,0.13,120.5,0
2024-01-15 10:28:30,0.55,890.3,15
2024-01-15 10:30:00,0.17,175.8,1
2024-01-15 10:33:15,0.38,600.4,9
